job title,company names,location,employment type,links
Data Analyst,Confidential -,"Qalyub, Qalubia, Egypt",Full Time,https://wuzzuf.net/jobs/p/HuI799zbHggN-Data-Analyst-Qalubia-Egypt
Data Analyst,Ashtar Tech    -,"New Capital, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/YIXR0gEBWgoV-Data-Analyst-Ashtar-Tech-Cairo-Egypt
Senior Data Analyst,El-nour for vegetable and fruits supplies  -,"Obour City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/PCyyrNSXcE55-Senior-Data-Analyst-El-nour-for-vegetable-and-fruits-supplies-Cairo-Egypt
Data Analyst,Qureos -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/0l7TXCo99jgR-Data-Analyst-Qureos-Cairo-Egypt
Data Analyst,Engosoft -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/LdZE6ayufqTy-Data-Analyst-Engosoft-Cairo-Egypt
Data Analyst,Optimarc pharma -,"Sheraton, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/9NWyJ3Y2xjZx-Data-Analyst-Optimarc-pharma-Cairo-Egypt
Data Analyst,Confidential -,"Mohandessin, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/ewn4cDHL1bUW-Data-Analyst-Giza-Egypt
Data Analyst,CRIF EGYPT -,"Heliopolis, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/AXcIDiTsKSWn-Data-Analyst-CRIF-EGYPT-Cairo-Egypt
Data Analyst Team Leader,3Sixty -,"Mohandessin, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/HN6h2CLSlb04-Data-Analyst-Team-Leader-3Sixty-Giza-Egypt
Business Data Analyst,Fawry Plus -,"Smart Village, Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/kvMsx40qvLZl-Business-Data-Analyst-Fawry-Plus-Giza-Egypt
MIS & Planning Analyst,B.TECH -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/UQRIAsfBrWVd-MIS-Planning-Analyst-B-TECH-Cairo-Egypt
Business Analyst,Transformation Experts -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/tL6I6Ub7YI8p-Business-Analyst-Transformation-Experts-Cairo-Egypt
Data/Business Analyst Intern,kafiil -,"Maadi, Cairo, Egypt",Freelance / Project,https://wuzzuf.net/internship/NXl1N6zwtmSd-DataBusiness-Analyst-Intern-kafiil-Cairo-Egypt
